item-no,pos-in-chrono,poss-names,jencks-name,last-name,first-name,item-type,viaf-link,wikipedia-link,getty-link,born,died,works-in-htdl,unvrf-built-bio-comparisons,top-terms,author,top-bio-keywords,top-bio-systems,n-bio-comparisons,top-built-keywords
426,2001.0,,YEANG,Yeang,Ken,person,http://viaf.org/viaf/73922661,https://en.wikipedia.org/wiki/Ken_Yeang,,10/6/48,,9999.0,4.0,term1 term2 term3 term4 term5,"Yeang, Ken","{'System': 31, 'Movement': 22, 'Process': 20, 'Protection': 12, 'Living': 11}","{'Life': 65, 'Physiology, General': 40, 'Body Regions': 27, 'Integumentary': 23, 'Special Senses': 10}",178.0,"{'building': 59, 'architecture': 12, 'environment': 12, 'area': 9, 'enclosure': 5}"
426,2001.0,,YEANG,Yeang,Ken,person,http://viaf.org/viaf/73922661,https://en.wikipedia.org/wiki/Ken_Yeang,,10/6/48,,9999.0,4.0,term1 term2 term3 term4 term5,"Yeang, Ken, 1948-","{'Energy': 763, 'System': 508, 'Life': 248, 'Process': 136, 'Complex': 123}","{'Physiology, General': 979, 'Life': 839, 'Body Regions': 168, 'Cardiovascular': 118, 'Integumentary': 75}",2404.0,"{'building': 895, 'environment': 200, 'area': 126, 'architecture': 94, 'complex': 67}"
425,1967.0,,Yamasaki,Yamasaki,Minoru,person,http://viaf.org/viaf/79409150,https://en.wikipedia.org/wiki/Minoru_Yamasaki,,12/1/12,2/6/86,0.0,0.0,term1 term2 term3 term4 term5,,,,,
424,1953.0,,WRIGHT,Wright,Frank Lloyd,person,http://viaf.org/viaf/27148716,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,,6/8/1867,4/9/59,9999.0,,term1 term2 term3 term4 term5,"Wright, Frank Lloyd, 1867-1959","{'Living': 19, 'Organic': 6, 'Life': 6, 'Host': 2, 'Foot': 2}","{'Life': 33, 'Body Regions': 3, 'Organisms': 2, 'Special Senses': 1, 'Physiology, General': 1}",43.0,"{'architecture': 8, 'room': 5, 'building': 4, 'city': 4, 'brick': 3}"
424,1953.0,,WRIGHT,Wright,Frank Lloyd,person,http://viaf.org/viaf/27148716,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,,6/8/1867,4/9/59,9999.0,,term1 term2 term3 term4 term5,"Wright, Frank Lloyd, 1867-1959,","{'Process': 2, 'Heart': 2, 'Life': 1, 'Head': 1, 'Joint': 1}","{'Life': 4, 'Cardiovascular': 2, 'Body Regions': 2, 'Skeletal': 1, 'Physiology, General': 1}",10.0,"{'area': 4, 'city': 3, 'architecture': 1, 'building': 1}"
424,1953.0,,WRIGHT,Wright,Frank Lloyd,person,http://viaf.org/viaf/27148716,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,,6/8/1867,4/9/59,9999.0,,term1 term2 term3 term4 term5,"Wright, Frank Lloyd, 1867-1959.","{'Life': 2283, 'Organic': 1268, 'Living': 676, 'Back': 589, 'Hand': 444}","{'Life': 4383, 'Body Regions': 1588, 'Physiology, General': 474, 'Cardiovascular': 268, 'Special Senses': 164}",7461.0,"{'architecture': 1644, 'building': 639, 'city': 466, 'nature': 287, 'house': 232}"
423,1938.0,,WRIGHT,Wright,Frank Lloyd,person,http://viaf.org/viaf/27148716,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,,6/8/1867,4/9/59,9999.0,,term1 term2 term3 term4 term5,"Wright, Frank Lloyd, 1867-1959","{'Living': 19, 'Organic': 6, 'Life': 6, 'Host': 2, 'Foot': 2}","{'Life': 33, 'Body Regions': 3, 'Organisms': 2, 'Special Senses': 1, 'Physiology, General': 1}",43.0,"{'architecture': 8, 'room': 5, 'building': 4, 'city': 4, 'brick': 3}"
423,1938.0,,WRIGHT,Wright,Frank Lloyd,person,http://viaf.org/viaf/27148716,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,,6/8/1867,4/9/59,9999.0,,term1 term2 term3 term4 term5,"Wright, Frank Lloyd, 1867-1959,","{'Process': 2, 'Heart': 2, 'Life': 1, 'Head': 1, 'Joint': 1}","{'Life': 4, 'Cardiovascular': 2, 'Body Regions': 2, 'Skeletal': 1, 'Physiology, General': 1}",10.0,"{'area': 4, 'city': 3, 'architecture': 1, 'building': 1}"
423,1938.0,,WRIGHT,Wright,Frank Lloyd,person,http://viaf.org/viaf/27148716,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,,6/8/1867,4/9/59,9999.0,,term1 term2 term3 term4 term5,"Wright, Frank Lloyd, 1867-1959.","{'Life': 2283, 'Organic': 1268, 'Living': 676, 'Back': 589, 'Hand': 444}","{'Life': 4383, 'Body Regions': 1588, 'Physiology, General': 474, 'Cardiovascular': 268, 'Special Senses': 164}",7461.0,"{'architecture': 1644, 'building': 639, 'city': 466, 'nature': 287, 'house': 232}"
422,1932.0,,WRIGHT,Wright,Frank Lloyd,person,http://viaf.org/viaf/27148716,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,,6/8/1867,4/9/59,9999.0,,term1 term2 term3 term4 term5,"Wright, Frank Lloyd, 1867-1959","{'Living': 19, 'Organic': 6, 'Life': 6, 'Host': 2, 'Foot': 2}","{'Life': 33, 'Body Regions': 3, 'Organisms': 2, 'Special Senses': 1, 'Physiology, General': 1}",43.0,"{'architecture': 8, 'room': 5, 'building': 4, 'city': 4, 'brick': 3}"
422,1932.0,,WRIGHT,Wright,Frank Lloyd,person,http://viaf.org/viaf/27148716,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,,6/8/1867,4/9/59,9999.0,,term1 term2 term3 term4 term5,"Wright, Frank Lloyd, 1867-1959,","{'Process': 2, 'Heart': 2, 'Life': 1, 'Head': 1, 'Joint': 1}","{'Life': 4, 'Cardiovascular': 2, 'Body Regions': 2, 'Skeletal': 1, 'Physiology, General': 1}",10.0,"{'area': 4, 'city': 3, 'architecture': 1, 'building': 1}"
422,1932.0,,WRIGHT,Wright,Frank Lloyd,person,http://viaf.org/viaf/27148716,https://en.wikipedia.org/wiki/Frank_Lloyd_Wright,,6/8/1867,4/9/59,9999.0,,term1 term2 term3 term4 term5,"Wright, Frank Lloyd, 1867-1959.","{'Life': 2283, 'Organic': 1268, 'Living': 676, 'Back': 589, 'Hand': 444}","{'Life': 4383, 'Body Regions': 1588, 'Physiology, General': 474, 'Cardiovascular': 268, 'Special Senses': 164}",7461.0,"{'architecture': 1644, 'building': 639, 'city': 466, 'nature': 287, 'house': 232}"
