Last Name,First Name,VIAF,Wikipedia Entry,"Born/
Established",Died,Works in HTRC?,Pos.(s) in Chronogram,,
Koenig,Pierre,,https://en.wikipedia.org/wiki/Pierre_Koenig,10/17/1925,4/4/2004,No,1962,,
Koolhaas,Rem,,https://en.wikipedia.org/wiki/Rem_Koolhaas,11/17/1944,,Yes,1986,,
Kotera,Jan,,https://en.wikipedia.org/wiki/Jan_Kot%C4%9Bra,12/18/1871,4/17/1923,No,1899,,
KPF,,,https://en.wikipedia.org/wiki/Kohn_Pedersen_Fox,1976,,No,1985,,
Kramer,Piet,,https://en.wikipedia.org/wiki/Piet_Kramer,7/1/1881,2/4/1961,No,1917,,
Kreis,Wilhelm,,https://en.wikipedia.org/wiki/Wilhelm_Kreis,3/17/1873,8/13/1955,No,1940,,
Krier,Leon,,https://en.wikipedia.org/wiki/L%C3%A9on_Krier,4/7/1946,,Yes,1980,,
Krier,Rob,,https://en.wikipedia.org/wiki/Rob_Krier,6/10/1938,11/1/2023,Yes,1994,,
Kroll,Lucien,,https://en.wikipedia.org/wiki/Lucien_Kroll,3/13/1927,8/1/2022,Yes,1970,,
Kurokawa,Kisho,,https://en.wikipedia.org/wiki/Kisho_Kurokawa,4/8/1934,10/12/2007,Yes,"1962, 1977, 1992",,
La Tendenza,,,https://www.studiointernational.com/la-tendenza-italian-architecture-1965-1985,,,No,1977,,
Lanchester,Henry Vaughan,,https://en.wikipedia.org/wiki/H._V._Lanchester,8/9/1863,1/16/1953,No,1900,,
Le Corbusier,,,https://en.wikipedia.org/wiki/Le_Corbusier,10/06/1887,8/27/1965,Yes,"1920, 1927, 1950, 1965",,
Le Ricolais,Robert,,https://en.wikipedia.org/wiki/Robert_Le_Ricolais,10/30/1894,6/4/1977,No,1924,,
Lechner,Odon,,"https://en.wikipedia.org/wiki/%C3%96d%C3%B6n_Lechner#:~:text=In%20the%20early%201900s%2C%20he,his%20search%20for%20larger%20commissions.",8/27/1845,6/10/1914,No,1900,,
Legoretta,Ricardo,,https://en.wikipedia.org/wiki/Ricardo_Legorreta,5/7/1931,12/30/2011,No,1988,,
Lemaresquier,Charles,,https://en.wikipedia.org/wiki/Charles_Lemaresquier,10/16/1870,1/6/1972,No,1933,,
Leonidov,Ivan,,https://en.wikipedia.org/wiki/Ivan_Leonidov,02/09/1902,11/06/1959,No,1923,,
Letchworth,,,https://en.wikipedia.org/wiki/Letchworth,,,No,1903,,
Lethaby,William,,https://en.wikipedia.org/wiki/William_Lethaby,1/18/1857,7/17/1931,No,1899,,
Lewerentz,Sigurd,,https://en.wikipedia.org/wiki/Sigurd_Lewerentz,7/29/1885,12/29/1975,No,1958,,
Libera,Adalberto,,https://en.wikipedia.org/wiki/Adalberto_Libera,7/16/1903,3/17/1963,No,1939,,
Libeskind,Daniel,,https://en.wikipedia.org/wiki/Daniel_Libeskind,5/12/1946,,Yes,2001,,
Lin,Maya,,https://en.wikipedia.org/wiki/Maya_Lin,10/5/1959,,Yes,1986,,
Lissitzky,El ,,https://en.wikipedia.org/wiki/El_Lissitzky,11/24/1890,12/30/1941,No,1919,,
Lofam,,,,,,No,1945,,
Loos,Adolf,,https://en.wikipedia.org/wiki/Adolf_Loos,12/10/1870,8/23/1933,No,1903,,
Lovins,Amory,,https://en.wikipedia.org/wiki/Amory_Lovins,11/13/1947,,No,1996,,
Lucrat,Andre,,https://en.wikipedia.org/wiki/Andr%C3%A9_Lur%C3%A7at,8/27/1894,7/11/1970,No,1929,,
Lutyens,Edwin,,https://en.wikipedia.org/wiki/Edwin_Lutyens,3/29/1869,1/1/1944,No,"1916, 1914",,
Lyyn,Greg,,https://en.wikipedia.org/wiki/Greg_Lynn,1964,,No,2002,,
MacCormac,Richard,,https://en.wikipedia.org/wiki/Richard_MacCormac,9/3/1938,7/26/2014,No,1987,,
Mackintosh,Charles,,https://en.wikipedia.org/wiki/Charles_Rennie_Mackintosh,6/7/1868,12/10/1928,No,"1904, 1905",,
Maekawa,Kunio,,https://en.wikipedia.org/wiki/Kunio_Maekawa,5/14/1905,6/26/1986,No,1957,,
Maillart,Robert,,https://en.wikipedia.org/wiki/Robert_Maillart,2/16/1872,4/5/1940,No,1900,,
Maki,Fumihiko,,https://en.wikipedia.org/wiki/Fumihiko_Maki,9/6/1928,6/6/2024,Yes,1990,,
Makim MW,,,,,,No,1900,,
Makovecz,Imre,,https://en.wikipedia.org/wiki/Imre_Makovecz,11/20/1935,9/27/2011,No,1997,,
Maldonado,Tomás,,https://en.wikipedia.org/wiki/Tom%C3%A1s_Maldonado,4/25/1922,11/26/2018,Yes,1963,,
May,Ernst,,https://en.wikipedia.org/wiki/Ernst_May,7/27/1886,9/11/1970,No,1924,,
Maybeck,Bernard,,https://en.wikipedia.org/wiki/Bernard_Maybeck,2/7/1862,10/3/1957,Yes,1908,,
McHale,John,,https://en.wikipedia.org/wiki/John_McHale_(artist),8/19/1922,11/2/1978,Yes,1972,,
Mecanoo,,,https://en.wikipedia.org/wiki/Mecanoo,1984,,No,1995,,
Meier,Richard,,https://en.wikipedia.org/wiki/Richard_Meier,10/12/1934,,Yes,"1973, 2002",,
Melnikov,Konstantin,,https://en.wikipedia.org/wiki/Konstantin_Melnikov,08/03/1890,11/28/1974,No,1926,,
Mendelsohn,Erich,,https://en.wikipedia.org/wiki/Erich_Mendelsohn,03/21/1887,09/15/1953,No,1923,,
Mewes,Charles,,https://en.wikipedia.org/wiki/Charles_Mew%C3%A8s,1/30/1858,8/9/1914,No,1910,,
Meyer,Hannes,,https://en.wikipedia.org/wiki/Hannes_Meyer,11/18/1889,7/19/1954,No,1930,,
Michelucci,Giovanni,,https://en.wikipedia.org/wiki/Giovanni_Michelucci,1/2/1891,12/31/1990,No,"1942, 1961",,
Mies van der Rohe,Ludwig ,,https://en.wikipedia.org/wiki/Ludwig_Mies_van_der_Rohe,3/27/1886,8/17/1969,No,"1921, 1956",,
Milton Keyens,,,https://en.wikipedia.org/wiki/Milton_Keynes,1/23/1967,,No,1973,,
Miralles,Enric,,https://en.wikipedia.org/wiki/Enric_Miralles,2/12/1955,7/3/2000,Yes,1991,,
Moholy-Nagy,Laszlo,,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Moholy-Nagy,7/20/1895,11/24/1946,No,1930,,
Moisei,Ginzburg,,https://en.wikipedia.org/wiki/Moisei_Ginzburg,6/4/1892,1/7/1946,No,1929,,
Moneo,Rafael,,https://en.wikipedia.org/wiki/Rafael_Moneo,5/9/1937,,Yes,1992,,
Moore,Charles (Willard),,https://en.wikipedia.org/wiki/Charles_Moore_(architect),10/31/1925,12/16/1993,Yes,1970,,
Moore,Charles Herbert,,https://en.wikipedia.org/wiki/Charles_Herbert_Moore,4/10/1840,2/15/1930,Yes,,,
Morandi,Giorgio,,https://en.wikipedia.org/wiki/Giorgio_Morandi,7/20/1890,6/18/1964,No,1953,,
Moser,Karl,,https://en.wikipedia.org/wiki/Karl_Moser,8/10/1860,2/28/1936,No,1909,,
Moss,Eric Owen,,https://en.wikipedia.org/wiki/Eric_Owen_Moss,7/25/1943,,Yes,1989,,
Mozuma,,,"https://en.wikipedia.org/wiki/Mazuma,_Nevada",,,,2001,,
Muthesius,Hermann,,https://en.wikipedia.org/wiki/Hermann_Muthesius,4/20/1861,10/29/1927,No,"1907, 1913",,
